User,Type,Total Amount,Number of Transactions
User 1,CREDIT,178054,41
User 1,DEBIT,184616,40
User 2,CREDIT,200996,47
User 2,DEBIT,227689,44
User 3,CREDIT,257462,49
User 3,DEBIT,196369,43
User 4,CREDIT,168337,34
User 4,DEBIT,202022,36
User 5,CREDIT,181935,43
User 5,DEBIT,156589,32
User 6,CREDIT,170454,35
User 6,DEBIT,295528,54
User 7,CREDIT,164239,25
User 7,DEBIT,140957,33
User 8,CREDIT,155769,33
User 8,DEBIT,171746,41
User 9,CREDIT,199351,49
User 9,DEBIT,229224,45
User 10,CREDIT,133991,27
User 10,DEBIT,141741,25
User 11,CREDIT,159620,32
User 11,DEBIT,203644,43
User 12,CREDIT,110824,23
User 12,DEBIT,185695,36
User 13,CREDIT,266942,45
User 13,DEBIT,120768,26
User 14,CREDIT,157486,35
User 14,DEBIT,113730,24
User 15,CREDIT,206348,38
User 15,DEBIT,191440,36
User 16,CREDIT,323271,56
User 16,DEBIT,216627,43
User 17,CREDIT,177953,35
User 17,DEBIT,134984,24
User 18,CREDIT,229940,43
User 18,DEBIT,286205,54
User 19,CREDIT,162493,35
User 19,DEBIT,237368,44
User 20,CREDIT,158967,30
User 20,DEBIT,155328,33
User 21,CREDIT,143713,31
User 21,DEBIT,125901,26
User 22,CREDIT,146949,28
User 22,DEBIT,133010,23
User 23,CREDIT,198745,42
User 23,DEBIT,217012,42
User 24,CREDIT,238917,43
User 24,DEBIT,210559,43
User 25,CREDIT,168402,29
User 25,DEBIT,148443,28
User 26,CREDIT,244764,45
User 26,DEBIT,151201,32
User 27,CREDIT,113105,23
User 27,DEBIT,161151,36
User 28,CREDIT,243220,44
User 28,DEBIT,197911,41
User 29,CREDIT,306403,56
User 29,DEBIT,190369,38
User 30,CREDIT,235260,44
User 30,DEBIT,161946,31
User 31,CREDIT,209171,40
User 31,DEBIT,224794,43
User 32,CREDIT,150192,26
User 32,DEBIT,165732,31
User 33,CREDIT,152815,29
User 33,DEBIT,110478,25
User 34,CREDIT,162925,32
User 34,DEBIT,269303,45
User 35,CREDIT,212075,46
User 35,DEBIT,243543,52
User 36,CREDIT,152461,34
User 36,DEBIT,204223,39
User 37,CREDIT,163929,35
User 37,DEBIT,208934,42
User 38,CREDIT,170992,36
User 38,DEBIT,135998,31
User 39,CREDIT,178520,37
User 39,DEBIT,174575,37
User 40,CREDIT,240887,55
User 40,DEBIT,219192,44
User 41,CREDIT,178245,41
User 41,DEBIT,239043,49
User 42,CREDIT,122625,27
User 42,DEBIT,180880,33
User 43,CREDIT,242586,54
User 43,DEBIT,217730,41
User 44,CREDIT,206292,39
User 44,DEBIT,179861,36
User 45,CREDIT,229785,44
User 45,DEBIT,259570,48
User 46,CREDIT,174471,43
User 46,DEBIT,212997,43
User 47,CREDIT,191845,39
User 47,DEBIT,168983,36
User 48,CREDIT,208437,39
User 48,DEBIT,252312,49
User 49,CREDIT,223233,36
User 49,DEBIT,182776,39
User 50,CREDIT,196194,43
User 50,DEBIT,242140,48
User 51,CREDIT,207005,36
User 51,DEBIT,211715,40
